title,artist,album,track_number,year,genre,custom_id
我是一只小小鸟,李宗盛,理性与感性作品音乐会,2,2007,Chinese Pop,0050152A5E1B424D81F6D9BECE20EBEF
我是真的爱你,李宗盛,理性与感性作品音乐会,3,2007,Chinese Pop,D1E141BBE3B3458D8FC551B1632C7F57
爱的代价,李宗盛,理性与感性作品音乐会,4,2007,Chinese Pop,80106FE2C71F4C0C82CC3A628285E89F
生命中的精灵,李宗盛,理性与感性作品音乐会,8,2007,Chinese Pop,C44438239CF94A9CB6F12FC0317653CF
真心英雄,李宗盛,理性与感性作品音乐会,5,2007,Chinese Pop,AF5DD847315447399DDCCBEE54A7D6BE
阴天,李宗盛,理性与感性作品音乐会,9,2007,Chinese Pop,351EF23F9A5D4E3CA684C3198B619AE9
鬼迷心窍 李宗盛&周华健,李宗盛,理性与感性作品音乐会,10,2007,Chinese Pop,BAABD4E09D764E5AB3659B3505E9E9DE
南飞雁,李玉刚,新贵妃醉酒,6/12,2010,Chinese Traditional,1B70F297C850452E9C9428BFEC7A1ADD
天池,李玉刚,新贵妃醉酒,9/12,2010,Chinese Traditional,ED43E4CF7FC34277BA127B649CC421C8
新贵妃醉酒,李玉刚,新贵妃醉酒,11/12,2010,Chinese Traditional,FB0017BBAD104F71B8EC6BCF42718706
水墨丹青,李玉刚,新贵妃醉酒,3/12,2010,Chinese Traditional,3CC9EE846EF7414C92FC8A595C3D4058
清明上河图,李玉刚,新贵妃醉酒,4/12,2010,Chinese Traditional,DFBA32AED8A54E6EBBADA1E9607F650F
镜花水月,李玉刚,新贵妃醉酒,2/12,2010,Chinese Traditional,C249532CF72A4381B0FD5763A05C021C
Loving You,杜德伟,滚石香港黄金十年杜德伟精选,1,2003,Chinese Pop,DC4057D7F73F4A4D94E995551BC13D5A
不走,杜德伟,滚石香港黄金十年杜德伟精选,1,2003,Chinese Pop,D4047B2E021C47ACBA6C0E0F02D9D224
天真,杜德伟,钟爱1998新选辑,6/11,1998,Chinese Pop,65B1C57445C64AD982695F339C2A922C
彩虹,杜德伟,滚石香港黄金十年杜德伟精选,2,2003,Chinese Pop,D1EA5BB442354CF79724AA267FA1A38E
情人,杜德伟,滚石香港黄金十年杜德伟精选,3,2003,Chinese Pop,F6E85FEEBC5B424B9A9E643D062B713C
把你宠坏,杜德伟,99情人,1,1999,Chinese Pop,9F873B91180F4220B00664D7E3555B1D
